Episode,Epsilon,LearningRate
,298,0.97122,1.00000
,299,0.97103,1.00000
,300,0.97083,1.00000
,301,0.97064,1.00000
,302,0.97044,1.00000
,303,0.97025,1.00000
,304,0.97005,1.00000
,305,0.96986,1.00000
,306,0.96967,1.00000
,307,0.96947,1.00000
,308,0.96928,1.00000
,309,0.96908,1.00000
,310,0.96889,1.00000
,311,0.96870,1.00000
,312,0.96850,1.00000
,313,0.96831,1.00000
,314,0.96812,1.00000
,315,0.96792,1.00000
,316,0.96773,1.00000
,317,0.96754,1.00000
,318,0.96734,1.00000
,319,0.96715,1.00000
,320,0.96695,1.00000
,321,0.96676,1.00000
,322,0.96657,1.00000
,323,0.96637,1.00000
,324,0.96618,1.00000
,325,0.96599,1.00000
,326,0.96580,1.00000
,327,0.96560,1.00000
,328,0.96541,1.00000
,329,0.96522,1.00000
,330,0.96502,1.00000
,331,0.96483,1.00000
,332,0.96464,1.00000
,333,0.96444,1.00000
,334,0.96425,1.00000
,335,0.96406,1.00000
,336,0.96387,1.00000
,337,0.96367,1.00000
,338,0.96348,1.00000
,339,0.96329,1.00000
,340,0.96309,1.00000
,341,0.96290,1.00000
,342,0.96271,1.00000
,343,0.96252,1.00000
,344,0.96232,1.00000
,345,0.96213,1.00000
,346,0.96194,1.00000
,347,0.96175,1.00000
,348,0.96155,1.00000
,349,0.96136,1.00000
,350,0.96117,1.00000
,351,0.96098,1.00000
,352,0.96079,1.00000
,353,0.96059,1.00000
,354,0.96040,1.00000
,355,0.96021,1.00000
,356,0.96002,1.00000
,357,0.95983,1.00000
,358,0.95963,1.00000
,359,0.95944,1.00000
,360,0.95925,1.00000
,361,0.95906,1.00000
